DEPNO,Names,URL,Class,Subclass,Commodity,Jurisdictn,Latitude,Longitude,DBNAME,COMPBY,RELDATE,RASTERVALU,OGF_ID,CLASS_SUBT,CLASS_SU_1,MDI_IDENT,DEPOSIT_ST,LOCATION_M,POINT_LOCA,RESIDENT_G,UTM_HORIZO,UTM_ZONE,UTM_EASTIN,UTM_NORTHI,CREATE_DAT,CREATE_GEO,REVISION_G,OLD_MDI_ID,SMDR_IDENT,AMIS_IDENT,RELATED_DE,DEPOSIT_AC,SOURCE_MAP,SOURCE_M_1,SOURCE_M_2,MINING_DIV,MDI_RECORD,GEOMETRY_U,EFFECTIVE_,NAME,P_COMMOD,S_COMMOD,TWP_AREA,DEP_CLASS,DETAIL,STATUS,ALL_NAMES,layer,path,AREA,PERIMETER,GEOLOWLAND,GEOLOWLA_1,FEATURE,TYPE_ALL,TYPE_P,TYPE_S,TYPE_T,UNITNAME_P,ROCKTYPE_P,STRAT_P,SUPEREON_P,EON_P,ERA_P,PERIOD_P,EPOCH_P,PROVINCE_P,TECTZONE_P,OROGEN_P,SUT_GAB_P,join_FEATU,join_TYPE,join_LABEL,join_SUTTO,Dist2Geoli,join_FNODE,join_TNODE,join_LPOLY,join_RPOLY,join_LENGT,join_FLTSU,join_FLT_1,join_SYMBO,join_COMP,join_DXF_L,join_COUNT,join_ENGDE,join_NAME,join_PAYS,join_FREDE,join_NOM,Dist2Fault,join_OBJEC,join_grid_,join_col_i,join_row_i,join_Long_,join_Lat_E,join_Cou_1,join_Provi,join_Regio,join_GL_Pr,join_GL_Pe,join_GL_Ag,join_GL_Li,join_GL__1,join_GL_Fa,join_Seis_,join_SV_50,join_SV_10,join_SV_15,join_SV_20,join_Sei_1,join_GL_Te,join_MW_5k,join_MW_10,join_MW_15,join_MW_20,join_MW_25,join_MW_30,join_GW_5k,join_GW_10,join_GW_15,join_GW_20,join_GW_25,join_GW_30,join_MG_Ti,join_MG__1,join_MG_1V,join_MG__2,join_MG_HG,join_MG__3,join_MG_RM,join_MG__4,join_GV_1V,join_GV__1,join_GV_HG,join_GV__2,join_GV_Bo,join_GV__3,join_Rad_K,join_Rad_T,join_Rad_U,join_Gchem,join_Gch_1,join_Gch_2,join_Gch_3,join_Gch_4,join_Train,join_Min_O,join_Min_1,join_Prosp,join_Pro_1,join_Pro_2,join_Pro_3,join_GL__2,join_Area_,Dist2Crust,OBJECTID,F_CODE,F_CODE_DES,NAM,NA2,NA2_DESCRI,NA3,NA3_DESCRI,Shape_Leng,Shape_Area,GRAVONT_1,GRAVONT_2,GRAVONT_3,ONGRAVTY_1,ONGRV1VD_1,ONMAG1VD_1,ONMAGONL_1,MAGONT_1,MAGONT_2,MAGONT_3
"535",Alexo,.\dp\dp535.html,magmatic,"komatiitic association; basal sulphide - komatiite","Ni; Cu; pge",Canada (Ontario),"48.65000000000","-80.81667000000",World Ni-Cu-PGE-Cr Deposits,"D. J. Good, O. R. Eckstrand, A. Yakubchuk, and Q. Gall",2015-09-30,"0.96900000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_WldNiCuPGECr_Canada_GBM_Ontario_vJuan,C:/Users/juanf/OneDrive/Documents/Project on Nickel Deposits Prediction/Bld_ai/Bld_ai/qgis_ontario_dataset_hyphotesis1_model - updated/NewCreatedLayers/Layer1/1_WldNiCuPGECr_Canada_GBM_Ontario_vJuan.shp,"0.00264307428","1.15766437418","8429","6668",GEOLOGICAL UNIT,6a,6a,,,Felsic to intermediate metavolcanic rocks,"Dacitic and andesitic flows, tuffs and breccias",,PRECAMBRIAN (0.542 Ga to <3.85 Ga),ARCHEAN (2.5 Ga to <3.85 Ga),NEO-TO MESOARCHEAN (2.5 Ga to 3.2 Ga),,,SUPERIOR,,,,"CONTACT, SHARP, TREND, INTERPRETED",MCTGLSTI,,,"126.414746517760605","2094","2285","0","0","58082.101999999998952","154","154","30",K. D. Card,unclass_flt,Canada,unclassified fault,,Canada,faille de nature non dÄfinie,,"3137.320389112001067","26822.000000000000000","203139","739","177","1038421","75321",Canada,Ontario,Eastern Canada,Superior Province,Neoarchean,"2713",mafic volcanic rocks,volcanic mix high,"3393","179","4.902000000000000","7.159000000000000","4.603000000000000","2.376000000000000","43","110330","4000","5657","12000","4000","16492","17889","4000","4000","8944","12000","43267","76837","-0.250040000000000","-0.250040000000000","0.380690000000000","0.403800000000000","1.384100000000000","1.384100000000000","901.431870000000004","870.616639999999961","0.000130000000000","0.000510000000000","0.001630000000000","0.002710000000000","-45.160440000000001","-46.809379999999997","0.70503","2.392","0.29342",NA,NA,NA,NA,NA,Train,Mineral,"6","0.563000000000000","11.769000000000000","4.773000000000000","0.969000000000000","8","25.000000000000000","2007.715749709160718","4259",FA001,Administrative Area,ONTARIO,CA,Canada,N,North America,"68.833907237836655","135.632027116610800","255","191","0","-8227.000000000000000","16.000000000000000","-69.000000000000000","-7884.000000000000000","255","159","255"
"57005",Area 41,.\dp\dp57005.html,magmatic,"rift and continental flood basalt association; basal sulphide - sill/chonolith","Cu; pge",Canada (Ontario),"48.86806000000","-86.48417000000",World Ni-Cu-PGE-Cr Deposits,"D. J. Good, O. R. Eckstrand, A. Yakubchuk, and Q. Gall",2015-09-30,"0.86100000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_WldNiCuPGECr_Canada_GBM_Ontario_vJuan,C:/Users/juanf/OneDrive/Documents/Project on Nickel Deposits Prediction/Bld_ai/Bld_ai/qgis_ontario_dataset_hyphotesis1_model - updated/NewCreatedLayers/Layer1/1_WldNiCuPGECr_Canada_GBM_Ontario_vJuan.shp,"0.05474770015","1.38553845733","7193","1366",GEOLOGICAL UNIT,"35","35",,,Alkalic Intrusive Suite and Carbonatite (circa 1.1 to 1.2 Ga),"Alkalic syenite, ijolite, nepheline syenite, fenite, associated mafic and ultramafic rocks, and minor carbonatite",,PRECAMBRIAN (0.542 Ga to <3.85 Ga),PROTEROZOIC (0.542 Ga to 2.50 Ga),MESOPROTEROZOIC (1.0 Ga to 1.6 Ga),,,SOUTHERN and SUPERIOR,,,,"CONTACT, SHARP, TREND, INTERPRETED",MCTGLSTI,,,"777.083121942490607","2682","2694","0","0","64597.843999999997322","232","232","34",K. D. Card,strike_slip_flt,Canada,strike slip fault,,Canada,faille de coulissage,,"17398.092839805707627","21192.000000000000000","191556","656","167","623421","25321",Canada,Ontario,Eastern Canada,Southern Province,Mesoproterozoic,"1076",alkaline intrusive rocks,mafic mix high,"15330","216","2.840000000000000","7.418000000000000","5.844000000000000","3.066000000000000","42","21044","2000","2000","2000","4828","4828","4828","2000","2000","2000","27839","75186","75186","0.503620000000000","0.503620000000000","0.472340000000000","0.382580000000000","0.661840000000000","0.661840000000000","1557.989540000000034","1450.251140000000078","0.002780000000000","0.003430000000000","0.005220000000000","0.004270000000000","-16.357500000000002","-11.154550000000000","1.39189","8.44456","2.36021","0.13271","0.26876","0.21409","0.32792","-0.15435",Train,Mineral,"2","0.511000000000000","5.773000000000000","2.335000000000000","0.861000000000000","4","25.000000000000000","1795.735869773915283","4259",FA001,Administrative Area,ONTARIO,CA,Canada,N,North America,"68.833907237836655","135.632027116610800","255","11","218","-4252.000000000000000","26.000000000000000","-139.000000000000000","-9431.000000000000000","255","121","255"
"57018",Big Daddy Chromite,.\dp\dp57018.html,magmatic,"stratiform chromite; magmatic chromite",Cr,Canada (Ontario),"52.76083000000","-86.23583000000",World Ni-Cu-PGE-Cr Deposits,"D. J. Good, O. R. Eckstrand, A. Yakubchuk, and Q. Gall",2015-09-30,"0.57400000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_WldNiCuPGECr_Canada_GBM_Ontario_vJuan,C:/Users/juanf/OneDrive/Documents/Project on Nickel Deposits Prediction/Bld_ai/Bld_ai/qgis_ontario_dataset_hyphotesis1_model - updated/NewCreatedLayers/Layer1/1_WldNiCuPGECr_Canada_GBM_Ontario_vJuan.shp,"0.00084872952","0.32914862100","1646","5537",GEOLOGICAL UNIT,"10","10",,,Mafic and ultramafic rocks,"Gabbro, anorthosite, ultramafic rocks",,PRECAMBRIAN (0.542 Ga to <3.85 Ga),ARCHEAN (2.5 Ga to <3.85 Ga),NEO-TO MESOARCHEAN (2.5 Ga to 3.2 Ga),,,SUPERIOR,,,,"CONTACT, SHARP, TREND, INTERPRETED",MCTGLSTI,,,"237.544659822072902","3680","999","0","0","48998.741999999998370","308","308","30",K. D. Card,unclass_flt,Canada,unclassified fault,,Canada,faille de nature non dufinie,,"17099.182327392340085","84829.000000000000000","290448","648","253","583421","455321",Canada,Ontario,Eastern Canada,Hudson Bay Lowlands,Ordovician,"465",undivided sedimentary rocks,seds mix low,"17263","216","4.648000000000000","8.829000000000002","6.131000000000000","3.098000000000000","41","51981","5657","8944","8000","5657","8944","24000","0","0","4000","4000","12649","34176","-0.193340000000000","-0.193340000000000","0.017060000000000","0.076570000000000","1.072780000000000","1.072780000000000","177.713230000000010","197.720239999999990","-0.000070000000000","-0.000160000000000","0.001300000000000","0.001060000000000","-58.069420000000001","-58.726289999999999",NA,NA,NA,NA,NA,NA,NA,NA,Train,Mineral,"3","0.271000000000000","0.268000000000000","2.996000000000000","0.574000000000000","6","25.000000000000000","1305.331150237661632","4259",FA001,Administrative Area,ONTARIO,CA,Canada,N,North America,"68.833907237836655","135.632027116610800","0","255","255","-11264.000000000000000","0.000000000000000","1875.000000000000000","-8071.000000000000000","255","159","255"
"579",Big Trout Lake,.\dp\dp579.html,magmatic,"stratiform chromite; stratiform pge; magmatic chromite","Cr; Pt; Pd",Canada (Ontario),"53.76667000000","-89.71667000000",World Ni-Cu-PGE-Cr Deposits,"D. J. Good, O. R. Eckstrand, A. Yakubchuk, and Q. Gall",2015-09-30,"0.86500000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_WldNiCuPGECr_Canada_GBM_Ontario_vJuan,C:/Users/juanf/OneDrive/Documents/Project on Nickel Deposits Prediction/Bld_ai/Bld_ai/qgis_ontario_dataset_hyphotesis1_model - updated/NewCreatedLayers/Layer1/1_WldNiCuPGECr_Canada_GBM_Ontario_vJuan.shp,"0.04558999281","2.35590865443","944","215",GEOLOGICAL UNIT,"10","10",,,Mafic and ultramafic rocks,"Gabbro, anorthosite, ultramafic rocks",,PRECAMBRIAN (0.542 Ga to <3.85 Ga),ARCHEAN (2.5 Ga to <3.85 Ga),NEO-TO MESOARCHEAN (2.5 Ga to 3.2 Ga),,,SUPERIOR,,,,"CONTACT, SHARP, TREND, INTERPRETED",MCTGLSTI,,,"1761.406700114337355","761","1141","0","0","266034.093999999982771","102","102","30",K. D. Card,unclass_flt,Canada,unclassified fault,,Canada,faille de nature non dÄfinie,,"24163.900869949204207","98440.000000000000000","309950","600","270","343421","540321",Canada,Ontario,Eastern Canada,Superior Province,Archean,"3250",gabbro-anorthosite,mafic mix high,"24161","235","3.307000000000000","8.430999999999999","7.182000000000000","3.846000000000000","36","25049","5657","14422","21541","11314","21541","60000","5657","4000","5657","8944","11314","14422","-0.502890000000000","-0.502890000000000","-0.032810000000000","-0.045790000000000","0.220760000000000","0.220760000000000","-64.406009999999995","-81.606949999999998","0.001030000000000","0.002060000000000","0.002430000000000","0.001870000000000","-36.834679999999999","-31.098490000000002",NA,NA,NA,NA,NA,NA,NA,NA,Train,Mineral,"1","0.504000000000000","4.288000000000001","2.910000000000000","0.865000000000000","4","25.000000000000000","926.381914608136299","4259",FA001,Administrative Area,ONTARIO,CA,Canada,N,North America,"68.833907237836655","135.632027116610800","255","0","55","-5956.000000000000000","30.000000000000000","-230.000000000000000","-9928.000000000000000","255","158","0"
"57019",Black Creek,.\dp\dp57019.html,magmatic,"stratiform chromite; magmatic chromite",Cr,Canada (Ontario),"52.76944000000","-86.22861000000",World Ni-Cu-PGE-Cr Deposits,"D. J. Good, O. R. Eckstrand, A. Yakubchuk, and Q. Gall",2015-09-30,"0.57400000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_WldNiCuPGECr_Canada_GBM_Ontario_vJuan,C:/Users/juanf/OneDrive/Documents/Project on Nickel Deposits Prediction/Bld_ai/Bld_ai/qgis_ontario_dataset_hyphotesis1_model - updated/NewCreatedLayers/Layer1/1_WldNiCuPGECr_Canada_GBM_Ontario_vJuan.shp,"0.00084872952","0.32914862100","1646","5537",GEOLOGICAL UNIT,"10","10",,,Mafic and ultramafic rocks,"Gabbro, anorthosite, ultramafic rocks",,PRECAMBRIAN (0.542 Ga to <3.85 Ga),ARCHEAN (2.5 Ga to <3.85 Ga),NEO-TO MESOARCHEAN (2.5 Ga to 3.2 Ga),,,SUPERIOR,,,,"CONTACT, SHARP, TREND, INTERPRETED",MCTGLSTI,,,"135.568979135648902","3680","999","0","0","48998.741999999998370","308","308","30",K. D. Card,unclass_flt,Canada,unclassified fault,,Canada,faille de nature non dufinie,,"18133.298825156569364","84829.000000000000000","290448","648","253","583421","455321",Canada,Ontario,Eastern Canada,Hudson Bay Lowlands,Ordovician,"465",undivided sedimentary rocks,seds mix low,"17263","216","4.648000000000000","8.829000000000002","6.131000000000000","3.098000000000000","41","51981","5657","8944","8000","5657","8944","24000","0","0","4000","4000","12649","34176","-0.193340000000000","-0.193340000000000","0.017060000000000","0.076570000000000","1.072780000000000","1.072780000000000","177.713230000000010","197.720239999999990","-0.000070000000000","-0.000160000000000","0.001300000000000","0.001060000000000","-58.069420000000001","-58.726289999999999",NA,NA,NA,NA,NA,NA,NA,NA,Train,Mineral,"3","0.271000000000000","0.268000000000000","2.996000000000000","0.574000000000000","6","25.000000000000000","1675.601499495939152","4259",FA001,Administrative Area,ONTARIO,CA,Canada,N,North America,"68.833907237836655","135.632027116610800","0","255","200","-11035.000000000000000","0.000000000000000","87.000000000000000","-10095.000000000000000","0","210","214"
"57020",Blackbird One,.\dp\dp57020.html,magmatic,"stratiform chromite; magmatic chromite",Cr,Canada (Ontario),"52.71750000000","-86.31750000000",World Ni-Cu-PGE-Cr Deposits,"D. J. Good, O. R. Eckstrand, A. Yakubchuk, and Q. Gall",2015-09-30,"0.88900000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_WldNiCuPGECr_Canada_GBM_Ontario_vJuan,C:/Users/juanf/OneDrive/Documents/Project on Nickel Deposits Prediction/Bld_ai/Bld_ai/qgis_ontario_dataset_hyphotesis1_model - updated/NewCreatedLayers/Layer1/1_WldNiCuPGECr_Canada_GBM_Ontario_vJuan.shp,"0.01702122676","3.75293608352","1535","8210",GEOLOGICAL UNIT,"5","5",,,Mafic to intermediate metavolcanic rocks,"Basaltic and andesitic flows, tuffs and breccias, chert, iron formation, minor metasedimentary and intrusive rocks, related migmatites",,PRECAMBRIAN (0.542 Ga to <3.85 Ga),ARCHEAN (2.5 Ga to <3.85 Ga),NEO-TO MESOARCHEAN (2.5 Ga to 3.2 Ga),,,SUPERIOR,,,,"CONTACT, SHARP, TREND, INTERPRETED",MCTGLSTI,,,"131.095982000453176","3680","999","0","0","48998.741999999998370","308","308","30",K. D. Card,unclass_flt,Canada,unclassified fault,,Canada,faille de nature non dufinie,,"10005.652560319394979","84008.000000000000000","289297","647","252","578421","450321",Canada,Ontario,Eastern Canada,Superior Province,Archean,"3250",mafic volcanic rocks,volcanic mix high,"10374","216","4.615000000000000","8.818000000000000","6.163000000000000","3.125000000000000","41","56091","8000","4000","8000","5657","8944","20396","0","0","0","0","8000","29120","-0.549360000000000","-0.549360000000000","0.068070000000000","0.033330000000000","0.733670000000000","0.733670000000000","219.761400000000009","188.246090000000009","-0.000200000000000","-0.000320000000000","0.000960000000000","0.000810000000000","-61.183459999999997","-62.046750000000003",NA,NA,NA,NA,NA,NA,NA,NA,Train,Mineral,"3","0.509000000000000","2.188000000000000","2.878000000000000","0.889000000000000","8","25.000000000000000","981.593039037034032","4259",FA001,Administrative Area,ONTARIO,CA,Canada,N,North America,"68.833907237836655","135.632027116610800","0","212","255","-12160.000000000000000","-4.000000000000000","98.000000000000000","-9340.000000000000000","255","131","255"
"57021",Blackbird Two,.\dp\dp57021.html,magmatic,"stratiform chromite; magmatic chromite",Cr,Canada (Ontario),"52.72944000000","-86.30611000000",World Ni-Cu-PGE-Cr Deposits,"D. J. Good, O. R. Eckstrand, A. Yakubchuk, and Q. Gall",2015-09-30,"0.88900000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_WldNiCuPGECr_Canada_GBM_Ontario_vJuan,C:/Users/juanf/OneDrive/Documents/Project on Nickel Deposits Prediction/Bld_ai/Bld_ai/qgis_ontario_dataset_hyphotesis1_model - updated/NewCreatedLayers/Layer1/1_WldNiCuPGECr_Canada_GBM_Ontario_vJuan.shp,"0.00029533670","0.23694521470","1737","14001",GEOLOGICAL UNIT,"10","10",,,Mafic and ultramafic rocks,"Gabbro, anorthosite, ultramafic rocks",,PRECAMBRIAN (0.542 Ga to <3.85 Ga),ARCHEAN (2.5 Ga to <3.85 Ga),NEO-TO MESOARCHEAN (2.5 Ga to 3.2 Ga),,,SUPERIOR,,,,"CONTACT, SHARP, TREND, INTERPRETED",MCTGLSTI,,,"63.027833613444123","3680","999","0","0","48998.741999999998370","308","308","30",K. D. Card,unclass_flt,Canada,unclassified fault,,Canada,faille de nature non dufinie,,"11517.230953557189423","84008.000000000000000","289297","647","252","578421","450321",Canada,Ontario,Eastern Canada,Superior Province,Archean,"3250",mafic volcanic rocks,volcanic mix high,"10374","216","4.615000000000000","8.818000000000000","6.163000000000000","3.125000000000000","41","56091","8000","4000","8000","5657","8944","20396","0","0","0","0","8000","29120","-0.549360000000000","-0.549360000000000","0.068070000000000","0.033330000000000","0.733670000000000","0.733670000000000","219.761400000000009","188.246090000000009","-0.000200000000000","-0.000320000000000","0.000960000000000","0.000810000000000","-61.183459999999997","-62.046750000000003",NA,NA,NA,NA,NA,NA,NA,NA,Train,Mineral,"3","0.509000000000000","2.188000000000000","2.878000000000000","0.889000000000000","8","25.000000000000000","1419.054356570107075","4259",FA001,Administrative Area,ONTARIO,CA,Canada,N,North America,"68.833907237836655","135.632027116610800","0","212","255","-12050.000000000000000","-4.000000000000000","476.000000000000000","-9569.000000000000000","255","8","209"
"489",Blezard,.\dp\dp489.html,magmatic,"meteorite impact association; Sudbury contact-type; basal sulphide - impact melt","Ni; Cu; pge",Canada (Ontario),"46.55694000000","-80.97806000000",World Ni-Cu-PGE-Cr Deposits,"D. J. Good, O. R. Eckstrand, A. Yakubchuk, and Q. Gall",2015-09-30,"0.89500000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_WldNiCuPGECr_Canada_GBM_Ontario_vJuan,C:/Users/juanf/OneDrive/Documents/Project on Nickel Deposits Prediction/Bld_ai/Bld_ai/qgis_ontario_dataset_hyphotesis1_model - updated/NewCreatedLayers/Layer1/1_WldNiCuPGECr_Canada_GBM_Ontario_vJuan.shp,"0.00492195177","0.67011435803","17769","9850",GEOLOGICAL UNIT,18c,18c,,,Volcanic rocks,"Mafic, intermediate and felsic metavolcanic rocks, intercalated metasedimentary rocks and epiclastic rocks","Huronian Supergroup (2.2 Ga to 2450 Ma); Elliot Lake Group",PRECAMBRIAN (0.542 Ga to <3.85 Ga),PROTEROZOIC (0.542 Ga to 2.50 Ga),PALEOPROTEROZOIC (1.6 Ga to 2.5 Ga),,,SOUTHERN and SUPERIOR,,,,"CONTACT, SHARP, TREND, INTERPRETED",MCTGLSTI,,,"157.887945752856297","3376","3452","0","0","92712.406000000002678","59","59","30",K. D. Card,unclass_flt,Canada,unclassified fault,,Canada,faille de nature non dÄfinie,,"10029.725358008774492","9270.000000000000000","150247","747","131","1078421","-154679",Canada,Ontario,Eastern Canada,Southern Province,Paleoproterozoic,"1967",undivided sedimentary rocks,seds mix low,"7900","179","5.198000000000000","7.298000000000000","3.805000000000000","1.695000000000000","39","15577","8472","2000","4828","6000","10797","26948","15457","20770","22084","10000","18444","23963","-0.484660000000000","-0.484660000000000","-0.000340000000000","-0.000600000000000","0.131450000000000","0.131450000000000","224.917069999999995","210.270729999999986","0.000510000000000","0.000680000000000","0.000800000000000","0.000420000000000","-31.797029999999999","-31.366660000000000","1.34211","5.1363","1.01932","1.76006","3.60957","0.46277","-0.84089","3.27792",Train,Barren,NA,"0.377000000000000","1.234000000000000","3.499000000000000","0.895000000000000","6","25.000000000000000","1374.578116610307688","4259",FA001,Administrative Area,ONTARIO,CA,Canada,N,North America,"68.833907237836655","135.632027116610800","255","0","55","-5826.000000000000000","10.000000000000000","-54.000000000000000","-9701.000000000000000","255","0","55"
"453",Boundary deposit,.\dp\dp453.html,magmatic,"meteorite impact association; Sudbury contact-type; basal sulphide - impact melt","Ni; Cu; pge",Canada (Ontario),"46.63190000000","-81.39190000000",World Ni-Cu-PGE-Cr Deposits,"D. J. Good, O. R. Eckstrand, A. Yakubchuk, and Q. Gall",2015-09-30,"0.58400000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_WldNiCuPGECr_Canada_GBM_Ontario_vJuan,C:/Users/juanf/OneDrive/Documents/Project on Nickel Deposits Prediction/Bld_ai/Bld_ai/qgis_ontario_dataset_hyphotesis1_model - updated/NewCreatedLayers/Layer1/1_WldNiCuPGECr_Canada_GBM_Ontario_vJuan.shp,"0.00304803780","0.54811416930","17559","9682",GEOLOGICAL UNIT,29b,29b,,,Sudbury Igneous Complex (1850 Ma),"Norite-gabbro, quartz norite, sublayer and offset rocks",,PRECAMBRIAN (0.542 Ga to <3.85 Ga),PROTEROZOIC (0.542 Ga to 2.50 Ga),PALEOPROTEROZOIC (1.6 Ga to 2.5 Ga),,,SOUTHERN and SUPERIOR,,,,"CONTACT, SHARP, TREND, INTERPRETED",MCTGLSTI,,,"73.844525866654038","3254","3385","0","0","63023.309000000001106","205","205","30",K. D. Card,unclass_flt,Canada,unclassified fault,,Canada,faille de nature non dÄfinie,,"3.030468922915220","9263.000000000000000","150240","740","131","1043421","-154679",Canada,Ontario,Eastern Canada,Southern Province,Paleoproterozoic,"1824",undivided sedimentary rocks,seds mix low,"2023","176","5.080000000000000","7.491000000000000","4.030000000000000","1.830000000000000","38","46067","4000","7301","14571","21314","21662","21662","4828","2000","0","2000","15696","15696","0.464090000000000","0.464090000000000","0.141600000000000","0.138090000000000","0.293480000000000","0.293480000000000","940.218690000000038","937.316199999999981","0.000790000000000","0.001070000000000","0.001730000000000","0.000750000000000","-37.740839999999999","-37.421590000000002","1.25662","4.9224","0.75969","-0.75209","0.18181","-0.58389","-0.12747","0.05796",Train,Barren,NA,"0.305000000000000","3.821000000000000","3.847000000000000","0.584000000000000","6","25.000000000000000","2424.976323046921607","4259",FA001,Administrative Area,ONTARIO,CA,Canada,N,North America,"68.833907237836655","135.632027116610800","255","127","0","-7283.000000000000000","17.000000000000000","299.000000000000000","-8837.000000000000000","255","159","255"
"57024",Broken Hammer,.\dp\dp57024.html,magmatic-hydrothermal,"meteorite impact association; Sudbury footwall-type","Cu; Pt; Pd; Au",Canada (Ontario),"46.76472000000","-81.03556000000",World Ni-Cu-PGE-Cr Deposits,"D. J. Good, O. R. Eckstrand, A. Yakubchuk, and Q. Gall",2015-09-30,"0.70700000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_WldNiCuPGECr_Canada_GBM_Ontario_vJuan,C:/Users/juanf/OneDrive/Documents/Project on Nickel Deposits Prediction/Bld_ai/Bld_ai/qgis_ontario_dataset_hyphotesis1_model - updated/NewCreatedLayers/Layer1/1_WldNiCuPGECr_Canada_GBM_Ontario_vJuan.shp,"0.03713098377","1.50136598473","17107","9305",GEOLOGICAL UNIT,"12","12",,,Foliated tonalite suite,Tonalite to granodiorite-foliated to massive,,PRECAMBRIAN (0.542 Ga to <3.85 Ga),ARCHEAN (2.5 Ga to <3.85 Ga),NEO-TO MESOARCHEAN (2.5 Ga to 3.2 Ga),,,SUPERIOR,,,,"CONTACT, SHARP, TREND, INTERPRETED",MCTGLSTI,,,"430.861611034233022","3354","3347","0","0","14748.853999999999360","56","56","30",K. D. Card,unclass_flt,Canada,unclassified fault,,Canada,faille de nature non dÄfinie,,"9730.656114734480070","10322.000000000000000","155995","745","136","1068421","-129679",Canada,Ontario,Eastern Canada,Superior Province,Neoarchean,"2650",undivided granitoid rocks,granite mix low,"10966","177","5.149000000000000","7.215000000000000","3.860000000000000","1.753000000000000","39","39398","5657","12649","12649","34176","36878","41761","0","0","0","0","0","0","-0.408390000000000","-0.408390000000000","-0.053090000000000","-0.049390000000000","0.209390000000000","0.209390000000000","36.386080000000000","39.438760000000002","0.000370000000000","-0.000430000000000","0.001810000000000","0.001940000000000","-46.204900000000002","-47.779750000000000","1.50073","4.94085","0.58988","-0.51534","0.46814","-0.1725","-0.57765","0.02755",Train,Barren,NA,"0.414000000000000","4.849000000000000","4.524000000000000","0.707000000000000","2","25.000000000000000","2315.432852512242334","4259",FA001,Administrative Area,ONTARIO,CA,Canada,N,North America,"68.833907237836655","135.632027116610800","218","255","0","-9152.000000000000000","-4.000000000000000","-146.000000000000000","-9889.000000000000000","255","143","0"
